date_hour,temperature
01,23.7
02,22.8
00,24.3
03,23.4
04,23.0
06,24.1
07,24.5
08,26.2
09,27.0
10,28.0
11,29.5
12,30.2
13,30.1
14,30.6
15,30.9
16,30.5
17,30.5
18,29.8
19,29.4
20,27.9
21,27.2
22,26.0
23,25.0
00,24.1
01,23.6
02,23.3
03,22.5
04,23.0
05,23.6
06,24.2
07,25.1
08,26.1
09,26.8
10,27.7
11,28.8
12,30.0
13,30.0
14,30.6
15,31.5
16,30.6
17,30.7
18,30.2
19,28.6
20,27.5
21,26.8
22,25.9
23,24.6
00,24.4
01,23.6
02,22.9
03,23.1
04,22.8
05,23.7
06,23.7
07,25.2
08,25.5
09,27.3
10,28.0
11,29.0
12,29.8
13,30.6
14,30.8
15,31.3
16,31.2
17,30.1
18,30.0
19,29.4
20,27.6
21,26.9
22,25.8
23,25.4
00,24.2
01,23.1
02,23.6
03,22.7
04,22.9
05,23.5
06,23.9
07,24.9
08,26.4
09,27.4
10,28.3
11,29.3
12,29.7
13,30.6
14,30.9
15,30.5
16,31.1
17,30.3
18,29.4
19,28.6
20,27.9
21,26.6
22,25.5
23,25.0
00,24.3
01,23.3
02,23.0
03,22.9
04,22.8
05,23.8
06,23.9
07,24.6
08,25.9
09,27.4
10,28.1
11,28.5
12,29.9
13,30.5
14,30.4
15,31.0
16,31.0
17,30.9
18,30.0
19,28.7
20,28.4
21,26.7
22,25.7
23,25.1
